,date,Cost_per_thousand_cubic_feet,Cost_per_MMBtu,day
332,11/29/21,11.46,11.05110897,332
333,11/30/21,11.46,11.05110897,333
334,12/1/21,12.8,12.34329797,334
335,12/2/21,12.8,12.34329797,335
336,12/3/21,12.8,12.34329797,336
337,12/4/21,12.8,12.34329797,337
338,12/5/21,12.8,12.34329797,338
339,12/6/21,12.8,12.34329797,339
340,12/7/21,12.8,12.34329797,340
341,12/8/21,12.8,12.34329797,341
342,12/9/21,12.8,12.34329797,342
343,12/10/21,12.8,12.34329797,343
344,12/11/21,12.8,12.34329797,344
345,12/12/21,12.8,12.34329797,345
346,12/13/21,12.8,12.34329797,346
347,12/14/21,12.8,12.34329797,347
348,12/15/21,12.8,12.34329797,348
349,12/16/21,12.8,12.34329797,349
350,12/17/21,12.8,12.34329797,350
351,12/18/21,12.8,12.34329797,351
352,12/19/21,12.8,12.34329797,352
353,12/20/21,12.8,12.34329797,353
354,12/21/21,12.8,12.34329797,354
355,12/22/21,12.8,12.34329797,355
356,12/23/21,12.8,12.34329797,356
357,12/24/21,12.8,12.34329797,357
358,12/25/21,12.8,12.34329797,358
359,12/26/21,12.8,12.34329797,359
360,12/27/21,12.8,12.34329797,360
361,12/28/21,12.8,12.34329797,361
362,12/29/21,12.8,12.34329797,362
363,12/30/21,12.8,12.34329797,363
364,12/31/21,12.8,12.34329797,364
365,1/1/22,12.8,12.34329797,365
