CEC Plant ID,Capacity (MW),Net Generation (MWh),Total Fuel Use (MMBtu),State,Year
G0910,47,8182,94808,CA,2021
G0911,61,12715,138543,CA,2021
G0912,40,567,6378,CA,2021
G0913,48,9426,104136,CA,2021
G0914,47,16272,176052,CA,2021
G0915,48,12627,140810,CA,2021
G0916,48,14138,155281,CA,2021
G0917,48,81312,931950,CA,2021
G0918,48,14839,162769,CA,2021
G0919,48,91381,982654,CA,2021
G0922,192,56054,578460,CA,2021
G0923,33,13862,121886,CA,2021
G0924,44,2485,42060,CA,2021
G0925,48,298545,3238881,CA,2021
G0928,501,249848,2347570,CA,2021
G0930,8,1907,17521,CA,2021
G0931,121,89256,896039,CA,2021
G0934,692,2199177,15975283,CA,2021
G0935,625,351315,2653177,CA,2021
G0945,50,8675,87829,CA,2021
G0950,613,3433178,24847337,CA,2021
G0951,49,6658,72311,CA,2021
G0990,10,2,63,CA,2021
G0991,10,35,651,CA,2021
G0997,400,667852,6130125,CA,2021
G0998,140,23849,275888,CA,2021
G1005,100,14818,171447,CA,2021
G1009,292,1724135,12095342,CA,2021
G1011,828,260009,2852770,CA,2021
G1014,2,6149,73857,CA,2021
G1015,200,88494,946173,CA,2021
G1019,19,97730,1083824,CA,2021
G1020,12,68328,973094,CA,2021
G1023,95,20179,209593,CA,2021
G1025,336,70757,722610,CA,2021
G1028,1,1307,18780,CA,2021
G1030,1,0,0,CA,2021
G1034,5,0,1,CA,2021
G1036,4,8818,88518,CA,2021
G1040,536,993526,7607747,NV,2021
G1041,49,10638,111618,CA,2021
G1046,13,64350,553926,CA,2021
G1047,22,58942,570435,CA,2021
G1048,1,6556,71515,CA,2021
G1049,50,11143,120747,CA,2021
G1050,5,35836,367547,CA,2021
G1051,6,27996,280751,CA,2021
G1067,7,17073,220236,CA,2021
G1072,15,601,0,CA,2021
G1073,5,34579,471800,CA,2021
G1074,1,3276,33160,CA,2021
G1075,696,3842056,26714287,CA,2021
G1076,693,2934515,20739073,CA,2021
G1077,121,4604,48256,CA,2021
G1079,6,31197,454736,CA,2021
G1080,6,30282,443688,CA,2021
G1081,20,164646,1634658,CA,2021
G1082,4,9598,95984,CA,2021
G9100,6,35153,572815,CA,2021
G9111,49,28002,285058,CA,2021
G9222,48,22629,255456,CA,2021
G9333,49,22505,251499,CA,2021
G9444,49,23936,245167,CA,2021
G9786,681,3155495,23051901,MX,2021
G9787,547,593665,4713121,MX,2021
H0005,1,3805,0,CA,2021
H0008,1,3508,0,CA,2021
H0014,3,0,0,CA,2021
H0019,34,35748,0,CA,2021
H0020,108,117565,0,CA,2021
H0021,2,5058,0,CA,2021
H0022,10,21008,0,CA,2021
H0023,118,145198,0,CA,2021
H0027,83,165700,0,CA,2021
H0028,67,100850,0,CA,2021
H0030,99,243825,0,CA,2021
H0032,177,336277,0,CA,2021
H0034,100,155216,0,CA,2021
H0036,65,67191,0,CA,2021
H0037,5,4311,0,CA,2021
H0039,9,5211,0,CA,2021
H0040,3,6937,0,CA,2021
H0041,7,18039,0,CA,2021
H0042,8,19001,0,CA,2021
H0043,8,32548,0,CA,2021
H0044,4,8733,0,CA,2021
H0045,2,7323,0,CA,2021
H0046,6,1949,0,CA,2021
H0048,11,0,0,CA,2021
H0052,58,17144,0,CA,2021
H0053,0,1181,0,CA,2021
H0054,2,2532,0,CA,2021
H0057,40,14880,0,CA,2021
H0058,20,13171,0,CA,2021
H0073,3,277,0,CA,2021
H0076,1,1191,0,CA,2021
H0078,1,3041,0,CA,2021
H0080,11,8629,0,CA,2021
H0081,158,107687,0,CA,2021
H0083,7,1925,0,CA,2021
H0087,74,34584,0,CA,2021
H0088,120,157800,0,CA,2021
H0090,1682,155441,0,CA,2021
H0092,6,0,0,CA,2021
H0094,14,3311,0,CA,2021
H0095,44,66335,0,CA,2021
H0096,8,5834,0,CA,2021
H0106,13,26831,0,CA,2021
H0107,263,186606,0,CA,2021
H0110,38,29264,0,CA,2021
H0111,20,62388,0,CA,2021
H0112,27,78903,0,CA,2021
H0114,3,6644,0,CA,2021
H0116,2,877,0,CA,2021
H0118,2,3765,0,CA,2021
H0119,3,9441,0,CA,2021
H0120,1,-11,0,CA,2021
H0121,70,120539,0,CA,2021
H0130,19,37474,0,CA,2021
H0133,6,18167,0,CA,2021
H0136,1,309,0,CA,2021
H0137,276,193260,0,CA,2021
H0141,165,346442,0,CA,2021
H0142,1,0,0,CA,2021
H0144,203,256579,0,CA,2021
H0145,72,162035,0,CA,2021
H0147,6,10449,0,CA,2021
H0149,10,43016,0,CA,2021
H0150,10,40420,0,CA,2021
H0151,20,97817,0,CA,2021
H0152,4,11617,0,CA,2021
H0154,56,42627,0,CA,2021
