,Nuclear,geothermal,hydroelectric_pumped_storage,natural_gas_fired_combined_cycle,onshore_wind_turbine,solar_photovoltaic,actual_solar,actual_wind,charge,discharge,soc,demand,net_supply,curtail,Hour
150,0.0,1923.5999999999997,-132.0530958647994,0.0,212.4530958648,0.0,-66.0265479323997,146.4265479324003,132.0530958647994,0.0,5809.902291996906,2004,2004.0,0.0,151
151,0.0,1934.7,-265.3399663715996,0.0,112.6399663716,0.0,-132.66998318579977,-20.03001681419977,265.3399663715996,0.0,6032.787863749049,1782,1782.0000000000002,0.0,152
152,0.0,1940.7,-450.1349940803998,0.0,171.4349940804,0.0,-225.0674970401999,-53.63250295979989,450.1349940803998,0.0,6410.901258776586,1662,1662.0,0.0,153
153,0.0,1499.4140808052002,0.0,0.0,70.5859191948,0.0,0.0,70.5859191948,0.0,0.0,6410.901258776586,1570,1570.0000000000002,0.0,154
154,0.0,1441.4321332164,0.0,0.0,85.56786678360001,0.0,0.0,85.56786678360001,0.0,0.0,6410.901258776586,1527,1527.0,0.0,155
155,0.0,1442.2617852912,0.0,0.0,117.7382147088,0.0,0.0,117.7382147088,0.0,0.0,6410.901258776586,1560,1560.0,0.0,156
156,0.0,1430.6380787688,0.0,0.0,276.36192123120003,0.0,0.0,276.36192123120003,0.0,0.0,6410.901258776586,1707,1707.0,0.0,157
157,0.0,1927.7499999999995,-302.2804966139995,0.0,295.530496614,0.0,-151.14024830699975,144.39024830700026,302.2804966139995,0.0,6664.816875932345,1921,1921.0,0.0,158
158,0.0,1914.8499999999997,-74.40553897319955,0.0,338.5555389732,0.0,-37.20276948659978,301.3527694866002,74.40553897319955,0.0,6727.317528669833,2179,2179.0,0.0,159
159,0.0,1502.847661402,0.0,0.0,524.4444032892,289.7079353088,289.7079353088,524.4444032892,0.0,0.0,6727.317528669833,2317,2317.0,0.0,160
160,0.0,1246.3960528188,0.0,0.0,345.986585064,894.6173621172001,894.6173621172001,345.986585064,0.0,0.0,6727.317528669833,2487,2487.0,0.0,161
161,0.0,1762.423590886,-619.6800000000001,0.0,307.67669712,1217.579711994,907.739711994,-2.16330288000006,619.6800000000001,0.0,7247.848728669834,2668,2668.0,0.0,162
162,0.0,1261.87371582,0.0,0.0,113.0010817932,1394.1252023868,1394.1252023868,113.0010817932,0.0,0.0,7247.848728669834,2769,2769.0,0.0,163
163,0.0,1116.119819964,0.0,0.0,13.3365112848,1486.5436687512,1486.5436687512,13.3365112848,0.0,0.0,7247.848728669834,2616,2616.0,0.0,164
