,tech,existing_cap_mw,total_electricity_rev_$,unit_rev_$_per_mw,capacity_price_$_per_mw_day,adjustment_factor,total_capacity_rev_$,day
27,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,4
28,onshore_wind_turbine,1549.2,8810.677959154424,5.687243712338254,28.92,0.4,17921.1456,4
29,solar_photovoltaic,1549.2,37104.93471113059,23.951029377182152,28.92,0.4,17921.1456,4
30,Nuclear,500.0,156678.6006678039,313.3572013356078,28.92,0.9,13014.0,5
31,geothermal,2323.8,2123.863684931507,0.9139614790134724,28.92,0.9,60483.866400000006,5
32,hydroelectric_pumped_storage,1549.2,-1361.1000626089854,-0.8785825346043025,28.92,0.9,40322.5776,5
33,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,5
34,onshore_wind_turbine,1549.2,3182.1320812434933,2.0540485936247697,28.92,0.4,17921.1456,5
35,solar_photovoltaic,1549.2,39016.15023938354,25.18470839102991,28.92,0.4,17921.1456,5
36,Nuclear,500.0,132128.6628011298,264.2573256022596,28.92,0.9,13014.0,6
37,geothermal,2323.8,2123.8636849315067,0.9139614790134722,28.92,0.9,60483.866400000006,6
38,hydroelectric_pumped_storage,1549.2,1037.8741145475694,0.6699419794394329,28.92,0.9,40322.5776,6
39,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,6
40,onshore_wind_turbine,1549.2,11807.211257345933,7.621489321808632,28.92,0.4,17921.1456,6
41,solar_photovoltaic,1549.2,40673.176526839714,26.25430966101195,28.92,0.4,17921.1456,6
42,Nuclear,500.0,77270.49101618941,154.54098203237882,28.92,0.9,13014.0,7
43,geothermal,2323.8,1415.9091232876713,0.6093076526756482,28.92,0.9,60483.866400000006,7
44,hydroelectric_pumped_storage,1549.2,2185.091510941615,1.4104644403186255,28.92,0.9,40322.5776,7
45,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,7
46,onshore_wind_turbine,1549.2,58223.80511429344,37.583142986246735,28.92,0.4,17921.1456,7
47,solar_photovoltaic,1549.2,40714.54257439744,26.281011215077097,28.92,0.4,17921.1456,7
48,Nuclear,500.0,135808.30905145535,271.6166181029107,28.92,0.9,13014.0,8
49,geothermal,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,8
50,hydroelectric_pumped_storage,1549.2,-383.2672703744736,-0.2473968954134221,28.92,0.9,40322.5776,8
51,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,8
52,onshore_wind_turbine,1549.2,18237.65036629084,11.772302069642937,28.92,0.4,17921.1456,8
53,solar_photovoltaic,1549.2,39308.02249269677,25.373110310287093,28.92,0.4,17921.1456,8
54,Nuclear,500.0,154406.47851178056,308.8129570235611,28.92,0.9,13014.0,9
55,geothermal,2323.8,2123.863684931507,0.9139614790134724,28.92,0.9,60483.866400000006,9
56,hydroelectric_pumped_storage,1549.2,-1310.2748079711307,-0.8457751148793768,28.92,0.9,40322.5776,9
57,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,9
58,onshore_wind_turbine,1549.2,5312.624031317107,3.4292693204990363,28.92,0.4,17921.1456,9
59,solar_photovoltaic,1549.2,39439.69383466792,25.45810343058864,28.92,0.4,17921.1456,9
60,Nuclear,500.0,153890.9437286044,307.7818874572088,28.92,0.9,13014.0,10
61,geothermal,2323.8,6725.568335616448,2.8942113502093334,28.92,0.9,60483.866400000006,10
62,hydroelectric_pumped_storage,1549.2,-703.4280872487298,-0.4540589254122965,28.92,0.9,40322.5776,10
63,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,10
64,onshore_wind_turbine,1549.2,13596.13241808248,8.77622800031144,28.92,0.4,17921.1456,10
65,solar_photovoltaic,1549.2,27461.384791589237,17.726171437896483,28.92,0.4,17921.1456,10
66,Nuclear,500.0,156763.17475684237,313.5263495136847,28.92,0.9,13014.0,11
67,geothermal,2323.8,3287.390273663132,1.414661448344579,28.92,0.9,60483.866400000006,11
68,hydroelectric_pumped_storage,1549.2,-831.9954803690373,-0.5370484639614235,28.92,0.9,40322.5776,11
69,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,11
70,onshore_wind_turbine,1549.2,12341.874612409156,7.966611549450785,28.92,0.4,17921.1456,11
71,solar_photovoltaic,1549.2,29795.99226019414,19.233147598885967,28.92,0.4,17921.1456,11
72,Nuclear,500.0,132365.9829077109,264.7319658154218,28.92,0.9,13014.0,12
73,geothermal,2323.8,2123.863684931507,0.9139614790134724,28.92,0.9,60483.866400000006,12
74,hydroelectric_pumped_storage,1549.2,284.07005323881367,0.1833656424211294,28.92,0.9,40322.5776,12
75,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,12
76,onshore_wind_turbine,1549.2,26165.33226297495,16.88957672539049,28.92,0.4,17921.1456,12
77,solar_photovoltaic,1549.2,41450.80117388357,26.75626205388818,28.92,0.4,17921.1456,12
78,Nuclear,500.0,156336.4927321498,312.67298546429964,28.92,0.9,13014.0,13
