,generator,total_cost_$_per_mwh,Hour
61,geothermal,3.539772808219178,62
62,geothermal,3.539772808219178,63
63,geothermal,3.539772808219178,64
64,geothermal,3.539772808219178,65
65,geothermal,3.539772808219178,66
66,geothermal,3.539772808219178,67
67,geothermal,3.539772808219178,68
68,geothermal,3.539772808219178,69
69,geothermal,3.539772808219178,70
70,geothermal,3.539772808219178,71
71,geothermal,3.539772808219178,72
72,geothermal,3.539772808219178,73
73,geothermal,3.539772808219178,74
74,geothermal,3.539772808219178,75
75,geothermal,3.539772808219178,76
76,geothermal,3.539772808219178,77
77,geothermal,3.539772808219178,78
78,geothermal,3.539772808219178,79
79,geothermal,3.539772808219178,80
80,geothermal,3.539772808219178,81
81,geothermal,3.539772808219178,82
82,geothermal,3.539772808219178,83
83,geothermal,3.539772808219178,84
84,geothermal,3.539772808219178,85
85,geothermal,3.539772808219178,86
86,geothermal,3.539772808219178,87
87,geothermal,3.539772808219178,88
88,geothermal,3.539772808219178,89
89,geothermal,3.539772808219178,90
90,geothermal,3.539772808219178,91
91,geothermal,3.539772808219178,92
92,geothermal,3.539772808219178,93
93,geothermal,3.539772808219178,94
94,geothermal,3.539772808219178,95
95,geothermal,3.539772808219178,96
96,geothermal,3.539772808219178,97
97,geothermal,3.539772808219178,98
98,geothermal,3.539772808219178,99
99,geothermal,3.539772808219178,100
100,geothermal,3.539772808219178,101
101,geothermal,3.539772808219178,102
102,geothermal,3.539772808219178,103
103,geothermal,3.539772808219178,104
104,geothermal,3.539772808219178,105
105,geothermal,3.539772808219178,106
106,geothermal,3.539772808219178,107
107,geothermal,3.539772808219178,108
108,geothermal,3.539772808219178,109
109,geothermal,3.539772808219178,110
110,geothermal,3.539772808219178,111
111,geothermal,3.539772808219178,112
112,geothermal,3.539772808219178,113
113,geothermal,3.539772808219178,114
114,geothermal,3.539772808219178,115
115,geothermal,3.539772808219178,116
116,geothermal,3.539772808219178,117
117,geothermal,3.539772808219178,118
118,geothermal,3.539772808219178,119
119,geothermal,3.539772808219178,120
120,geothermal,3.539772808219178,121
121,geothermal,3.539772808219178,122
122,geothermal,3.539772808219178,123
123,geothermal,3.539772808219178,124
124,geothermal,3.539772808219178,125
125,geothermal,3.539772808219178,126
126,geothermal,3.539772808219178,127
127,geothermal,3.539772808219178,128
128,geothermal,3.539772808219178,129
129,geothermal,3.539772808219178,130
130,geothermal,3.539772808219178,131
131,geothermal,3.539772808219178,132
132,geothermal,3.539772808219178,133
133,geothermal,3.539772808219178,134
134,geothermal,3.539772808219178,135
135,geothermal,3.539772808219178,136
136,geothermal,3.539772808219178,137
137,geothermal,3.539772808219178,138
138,geothermal,3.539772808219178,139
139,geothermal,3.539772808219178,140
140,geothermal,3.539772808219178,141
141,geothermal,3.539772808219178,142
142,geothermal,3.539772808219178,143
143,geothermal,3.539772808219178,144
144,geothermal,3.539772808219178,145
145,geothermal,3.539772808219178,146
146,geothermal,3.539772808219178,147
147,geothermal,3.539772808219178,148
148,geothermal,3.539772808219178,149
149,geothermal,3.539772808219178,150
150,geothermal,3.539772808219178,151
151,geothermal,3.539772808219178,152
152,geothermal,3.539772808219178,153
153,geothermal,3.539772808219178,154
154,geothermal,3.539772808219178,155
155,geothermal,3.539772808219178,156
156,geothermal,3.539772808219178,157
157,geothermal,3.539772808219178,158
158,geothermal,3.539772808219178,159
159,geothermal,3.539772808219178,160
160,geothermal,3.539772808219178,161
161,geothermal,3.539772808219178,162
162,geothermal,3.539772808219178,163
163,geothermal,3.539772808219178,164
164,geothermal,3.539772808219178,165
165,geothermal,3.539772808219178,166
166,geothermal,3.539772808219178,167
167,geothermal,3.539772808219178,168
168,geothermal,3.539772808219178,169
169,geothermal,3.539772808219178,170
170,geothermal,3.539772808219178,171
171,geothermal,3.539772808219178,172
172,geothermal,3.539772808219178,173
173,geothermal,3.539772808219178,174
174,geothermal,3.539772808219178,175
175,geothermal,3.539772808219178,176
176,geothermal,3.539772808219178,177
177,geothermal,3.539772808219178,178
178,geothermal,3.539772808219178,179
179,geothermal,3.539772808219178,180
180,geothermal,3.539772808219178,181
181,geothermal,3.539772808219178,182
182,geothermal,3.539772808219178,183
183,geothermal,3.539772808219178,184
184,geothermal,3.539772808219178,185
185,geothermal,3.539772808219178,186
186,geothermal,3.539772808219178,187
187,geothermal,3.539772808219178,188
188,geothermal,3.539772808219178,189
189,geothermal,3.539772808219178,190
190,geothermal,3.539772808219178,191
191,geothermal,3.539772808219178,192
192,geothermal,3.539772808219178,193
193,geothermal,3.539772808219178,194
194,geothermal,3.539772808219178,195
195,geothermal,3.539772808219178,196
196,geothermal,3.539772808219178,197
197,geothermal,3.539772808219178,198
198,geothermal,3.539772808219178,199
199,geothermal,3.539772808219178,200
200,geothermal,3.539772808219178,201
201,geothermal,3.539772808219178,202
202,geothermal,3.539772808219178,203
203,geothermal,3.539772808219178,204
204,geothermal,3.539772808219178,205
205,geothermal,3.539772808219178,206
206,geothermal,3.539772808219178,207
207,geothermal,3.539772808219178,208
208,geothermal,3.539772808219178,209
209,geothermal,3.539772808219178,210
210,geothermal,3.539772808219178,211
211,geothermal,3.539772808219178,212
212,geothermal,3.539772808219178,213
213,geothermal,3.539772808219178,214
214,geothermal,3.539772808219178,215
215,geothermal,3.539772808219178,216
216,geothermal,3.539772808219178,217
217,geothermal,3.539772808219178,218
218,geothermal,3.539772808219178,219
219,geothermal,3.539772808219178,220
220,geothermal,3.539772808219178,221
221,geothermal,3.539772808219178,222
222,geothermal,3.539772808219178,223
223,geothermal,3.539772808219178,224
224,geothermal,3.539772808219178,225
225,geothermal,3.539772808219178,226
226,geothermal,3.539772808219178,227
227,geothermal,3.539772808219178,228
228,geothermal,3.539772808219178,229
229,geothermal,3.539772808219178,230
230,geothermal,3.539772808219178,231
231,geothermal,3.539772808219178,232
232,geothermal,3.539772808219178,233
233,geothermal,3.539772808219178,234
234,geothermal,3.539772808219178,235
235,geothermal,3.539772808219178,236
236,geothermal,3.539772808219178,237
237,geothermal,3.539772808219178,238
238,geothermal,3.539772808219178,239
239,geothermal,3.539772808219178,240
240,geothermal,3.539772808219178,241
